,Active Players,Age,Pos.,Status,Adj. Salary
11824,Jose Trevino,29,C,Pre-Arb,"$720,000"
11825,Jonathan Hernandez,25,RP,Pre-Arb,"$720,000"
11826,Dennis Santana,26,RP,Pre-Arb,"$720,000"
11827,Bryan Abreu,25,RP,Pre-Arb,"$719,600"
11828,Andrew Knizner,27,C,Pre-Arb,"$718,300"
11829,Adbert Alzolay,27,RP,Pre-Arb,"$718,250"
11830,Joe Mantiply,31,RP,Pre-Arb,"$717,000"
11831,Aaron Civale,27,SP,Pre-Arb,"$716,900"
11832,Tyler Alexander,27,SP,Pre-Arb,"$716,900"
11833,Randy Arozarena,27,LF,Pre-Arb,"$716,600"
11834,Cedric Mullins,27,CF,Pre-Arb,"$716,500"
11835,Paolo Espino,35,SP,Pre-Arb,"$716,200"
11836,Nate Lowe,26,1B,Pre-Arb,"$716,000"
11837,Andrew Vaughn,24,DH,Pre-Arb,"$715,000"
11838,Jesus Luzardo,24,SP,Pre-Arb,"$715,000"
11839,Alec Bohm,25,3B,Pre-Arb,"$715,000"
11840,David Bednar,27,RP/CL,Pre-Arb,"$715,000"
11841,Thairo Estrada,26,2B,Pre-Arb,"$715,000"
11842,Devin Williams,27,RP/CL,Pre-Arb,"$714,500"
11843,Pete Fairbanks,28,RP,Pre-Arb,"$714,400"
11844,Jose Quintana,33,SP,Vet,"$714,285"
11845,Brock Burke,25,RP,Pre-Arb,"$714,000"
11846,Adolis Garcia,29,RF,Pre-Arb,"$714,000"
11847,Jonah Heim,27,C,Pre-Arb,"$714,000"
11848,Alejandro Kirk,23,C,Pre-Arb,"$714,000"
11849,Ryan Jeffers,25,C,Pre-Arb,"$713,050"
11850,Austin Hays,26,LF,Pre-Arb,"$713,000"
11851,Logan Gilbert,25,SP,Pre-Arb,"$712,300"
11852,Drew Rasmussen,26,SP,Pre-Arb,"$711,800"
11853,Erik Swanson,28,RP,Pre-Arb,"$711,600"
11854,Dillon Tate,28,RP,Pre-Arb,"$711,500"
11855,Shane McClanahan,25,SP,Pre-Arb,"$711,400"
11856,Tyrone Taylor,28,CF,Pre-Arb,"$711,100"
11857,Ryan Mountcastle,25,1B,Pre-Arb,"$711,000"
11858,James Karinchak,26,RP,Pre-Arb,"$710,606"
11859,J.T. Chargois,31,RP,Pre-Arb,"$710,500"
11860,Eric Haase,29,C,Pre-Arb,"$710,400"
11861,Jordan Romano,29,RP/CL,Pre-Arb,"$710,400"
11862,Jake Fraley,27,LF,Pre-Arb,"$710,000"
11863,Austin Gomber,28,RP,Pre-Arb,"$710,000"
11864,Brendan Rodgers,25,2B,Pre-Arb,"$710,000"
11865,Jorge Mateo,27,SS,Pre-Arb,"$709,500"
11866,Tylor Megill,26,RP,Pre-Arb,"$707,500"
11867,Albert Abreu,26,RP,Pre-Arb,"$707,500"
11868,Triston McKenzie,24,SP,Pre-Arb,"$707,100"
11869,Nick Gordon,26,SS,Pre-Arb,"$706,800"
